full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.845,3812,3812,3812,3812,47.521,203.191,48.699,204.349,42.747,208.798,40.026,210.515,0.888,0.765,0.882,0.826,0.845,0.823,0,0,0,0
0.845,531,531,531,531,336.76,153.968,336.171,156.861,341.76,148.51,328.121,144.708,0.892,0.854,0.791,0.873,0.845,0.822,1,1,1,1
0.845,2517,2517,2517,2517,191.728,337.795,189.204,336.006,191.017,331.399,190.124,320.746,0.88,0.824,0.832,0.852,0.845,0.828,0,0,0,0
0.845,3169,3169,3169,3169,399.291,213.796,398.664,214.393,385.748,214.019,382.804,217.941,0.876,0.821,0.839,0.848,0.845,0.83,0,0,0,0
0.845,4309,4309,4309,4309,244.362,12.347,244.106,12.174,244.106,12.174,240.935,17.962,0.807,0.922,0.806,0.865,0.845,0.864,1,1,1,1
0.845,4173,4173,4173,4173,392.679,369.366,390.967,369.328,388.314,369.956,387.639,370.4,0.909,0.776,0.849,0.843,0.845,0.812,0,0,0,0
0.844,4586,4586,4586,4586,391.173,62.641,387.66,59.537,383.376,60.639,389.029,54.937,0.935,0.794,0.803,0.864,0.844,0.799,0,0,0,0
0.844,2216,2216,2216,2216,417.13,355.037,415.482,355.153,415.153,355.109,415.211,355.265,0.811,0.807,0.913,0.809,0.844,0.86,0,0,0,0
0.844,2838,2838,2838,2838,452.394,437.099,452.394,437.099,452.394,437.099,452.394,437.099,0.872,0.784,0.876,0.828,0.844,0.83,1,1,1,1
0.844,2764,2764,2764,2764,22.951,278.276,28.365,279.133,27.812,278.018,29.434,277.291,0.901,0.84,0.791,0.871,0.844,0.816,0,0,0,0
0.844,53,53,53,53,250.191,451.791,250.945,450.826,251.63,451.256,251.686,450.74,0.938,0.839,0.754,0.889,0.844,0.796,0,0,0,0
0.843,2669,2669,2669,2669,64.618,311.419,67.244,307.522,68.317,308.605,62.62,312.253,0.935,0.859,0.736,0.897,0.843,0.797,0,0,0,0
0.843,5814,5814,5814,5814,78.047,116.244,77.743,121.416,77.592,126.386,65.241,130.715,0.838,0.859,0.833,0.848,0.843,0.846,0,0,0,0
0.843,3932,3932,3932,3932,451.969,399.972,451.969,399.972,451.969,399.972,451.969,399.972,0.859,0.724,0.947,0.792,0.843,0.836,0,0,0,0
0.843,1779,1779,1779,1779,428.623,33.249,427.1,32.697,423.661,32.362,422.726,32.095,0.932,0.828,0.77,0.88,0.843,0.799,0,0,0,0
0.843,2330,2330,2330,2330,401.007,357.933,399.124,357.971,397.991,357.114,396.069,355.841,0.942,0.838,0.749,0.89,0.843,0.793,0,0,0,0
0.842,1235,1235,1235,1235,368.358,245.782,361.111,235.311,368.486,232.31,358.162,235.1,0.856,0.821,0.847,0.839,0.842,0.834,0,0,0,0
0.842,2263,2263,2263,2263,94.741,398.278,95.679,398.047,93.735,399.134,95.325,399.23,0.88,0.715,0.933,0.797,0.842,0.824,0,0,0,0
