full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.49,299,299,299,299,144.451,121.182,142.595,135.485,141.137,115.621,134.101,111.286,0.515,0.525,0.431,0.52,0.49,0.478,0,0,0,0
0.64,300,300,300,300,322.848,327.014,332.637,331.24,338.235,331.325,338.022,339.784,0.636,0.623,0.66,0.629,0.64,0.642,0,0,0,0
0.677,304,304,304,304,140.284,93.018,143.586,85.282,138.987,80.809,126.514,74.985,0.795,0.586,0.651,0.69,0.677,0.618,1,1,1,1
0.676,305,305,305,305,189.327,32.577,189.331,32.54,189.112,31.281,190.343,29.458,0.8,0.631,0.598,0.715,0.676,0.615,0,0,0,0
0.803,306,306,306,306,57.424,394.998,57.331,395.295,53.125,395.416,50.768,394.867,0.903,0.613,0.893,0.758,0.803,0.753,0,0,0,0
0.405,307,3255,3255,3255,10.865,379.735,28.071,341.049,30.887,331.709,25.29,324.256,0.053,0.617,0.545,0.335,0.405,0.581,0,0,0,0
0.669,308,308,308,308,151.378,111.627,151.279,108.875,137.859,119.701,138.826,141.405,0.685,0.624,0.697,0.654,0.669,0.661,0,0,0,0
0.754,309,309,309,309,300.056,226.504,302.201,205.375,315.614,204.044,319.388,201.988,0.721,0.777,0.763,0.749,0.754,0.77,0,0,0,0
0.662,310,310,310,310,466.007,349.004,464.608,352.845,463.802,353.584,463.789,353.593,0.513,0.756,0.718,0.635,0.662,0.737,0,0,0,0
0.747,311,311,311,311,61.154,400.086,61.115,400.192,63.181,402.285,61.883,405.663,0.801,0.67,0.769,0.735,0.747,0.72,0,0,0,0
0.614,312,312,312,312,103.944,403.054,103.969,403.104,105.793,402.924,108.604,401.29,0.57,0.533,0.74,0.551,0.614,0.636,0,0,0,0
0.617,313,313,313,313,282.799,357.905,276.988,358.796,271.855,363.184,251.858,358.117,0.622,0.638,0.592,0.63,0.617,0.615,1,1,1,1
0.73,314,314,314,314,489.25,468.262,489.25,468.262,489.25,468.262,489.25,468.262,0.75,0.614,0.826,0.682,0.73,0.72,0,0,0,0
0.583,316,316,316,316,220.715,345.548,224.274,343.015,216.61,341.405,215.564,333.825,0.731,0.507,0.509,0.619,0.583,0.508,0,0,0,0
0.655,317,317,317,317,396.427,337.597,392.233,338.443,388.749,338.803,387.896,335.271,0.507,0.644,0.814,0.576,0.655,0.729,0,0,0,0
